ID,Title,Link,City and Country,Location,Segment,Image Src,Latitude,Longitude
11,"Amsterdam, NL – Ripley’s",http://en.the-wall-net.org/amsterdam-nl-ripleys/,"Amsterdam, NL – Ripley’s",Location:Ripley’s Believe It Or Not!,several parts of the Hinterlandmauer,http://en.the-wall-net.org/wp-content/uploads/2018/03/EU116B.jpg,52.3724236,4.8935854
12,"Angers, F",http://en.the-wall-net.org/angers-f/,"Angers, F",Location: temporarily; current site:Esplanade du Gaumont,2 segments,http://en.the-wall-net.org/wp-content/uploads/2014/10/EU048_1_TEMPORARY.jpg,47.4739884,-0.5515588
13,"Angers, F – Esplanade du Gaumont",http://en.the-wall-net.org/angers-f-esplanade-du-gaumont/,"Angers, F – Esplanade du Gaumont",Location: in front of the multiplex cinema Gaumont,1 segment,http://en.the-wall-net.org/wp-content/uploads/2015/09/EU087_2.jpg,,
14,"Ansbach, BY",http://en.the-wall-net.org/ansbach/,"Ansbach, BY","Location: SquareAn der Riviera, north of the old town",1 segment,http://en.the-wall-net.org/wp-content/uploads/2014/10/D071B.jpg,49.2888745,10.5597693
15,"Antwerp, B",http://en.the-wall-net.org/antwerp-b/,"Antwerp, B","Location: Ampere, Simonsstraat",1 segment,http://en.the-wall-net.org/wp-content/uploads/2016/11/EU089B.jpg,51.1307845,5.0919323
16,"Arlesheim, CH",http://en.the-wall-net.org/arlesheim-ch/,"Arlesheim, CH",Location: unknown (private property),1 segment,http://en.the-wall-net.org/wp-content/uploads/2015/06/Schweiz.jpg,47.4931125,7.6202048
17,"Arlington, VA",http://en.the-wall-net.org/arlington-va/,"Arlington, VA",Location: Freedom Park,2 segments,http://en.the-wall-net.org/wp-content/uploads/2014/11/US092_3RELOC.jpg,38.8903961,-77.0841585
18,"Arnheim, NL",http://en.the-wall-net.org/arnheim-nl/,"Arnheim, NL","Location: Arnhem, Rhine harbor",1 segment,http://en.the-wall-net.org/wp-content/uploads/2015/02/EU071.jpg,51.984257,5.9108573
19,"Aschaffenburg, BY",http://en.the-wall-net.org/aschaffenburg/,"Aschaffenburg, BY","Location: in the garden ofGentil House, artist’s villa",1 segment,http://en.the-wall-net.org/wp-content/uploads/2015/09/D105.jpg,49.9740542,9.1493636
20,"Athens, GR – (relocated)",http://en.the-wall-net.org/athens-gr-relocated/,"Athens, GR – (relocated)","Location: German Embassy in Athens, Greece",3 segments,http://en.the-wall-net.org/wp-content/uploads/2019/02/EU120_REL.jpg,37.97945,23.71622
21,"Atlanta, GA – AIS",http://en.the-wall-net.org/atlanta-ga-ais/,"Atlanta, GA – AIS",Location: Atlanta International School,1 segment,http://en.the-wall-net.org/wp-content/uploads/2015/03/US096_1B.jpg,33.7489924,-84.3902644
22,"Atlanta, GA – Goethe Institut",http://en.the-wall-net.org/atlanta-ga/,"Atlanta, GA – Goethe Institut","Location:Goethe Institut, Colony Square, Plaza Level",1 segment,http://en.the-wall-net.org/wp-content/uploads/2014/09/Atlantajpg.jpg,,
23,"Augusta, GA",http://en.the-wall-net.org/augusta-ga/,"Augusta, GA","Location: Fort Gordon, U.S. Army Signal Corps Museum",2 segments from the Hinterlandmauer,http://en.the-wall-net.org/wp-content/uploads/2015/04/US037.jpg,33.4709714,-81.9748429
24,"Augustdorf, NW",http://en.the-wall-net.org/augustdorf/,"Augustdorf, NW","Location: Generalfeldmarschall-Rommel-Barracks, in front of the stuff building",1 segment,http://en.the-wall-net.org/wp-content/uploads/2015/11/Deutschland.jpg,46.92739,8.41028
25,"Bad Belzig, BB",http://en.the-wall-net.org/bad-belzig-bb/,"Bad Belzig, BB",Location: in front of the district administration,1 segment,http://en.the-wall-net.org/wp-content/uploads/2017/04/D161_14.jpg,52.1405622,12.5865873
26,"Bad Salzgitter, NI",http://en.the-wall-net.org/bad-salzgitter/,"Bad Salzgitter, NI","Location: at the Pfingstanger, next to the police station","1 segment from Spreebogen, Schiffbauerdamm/Reinhardstraße",http://en.the-wall-net.org/wp-content/uploads/2015/11/Deutschland.jpg,52.0462988,10.3721997
27,"Ballrechten-Dottingen, BW",http://en.the-wall-net.org/ballrechten-dottingen/,"Ballrechten-Dottingen, BW","Location: on a meadow, private property",8 segments from the end of Sonnenallee,http://en.the-wall-net.org/wp-content/uploads/2015/10/D005_1.jpg,47.8575011,7.6976595
28,"Bangkok, T",http://en.the-wall-net.org/bangkok-t/,"Bangkok, T",Location: German Embassy,2 segments,http://en.the-wall-net.org/wp-content/uploads/2018/11/AS027.jpg,13.9125368,100.6103322
29,"Basel, CH – ART Basel (temp. in 2007)",http://en.the-wall-net.org/basel-ch-art-basel-temp-in-2007/,"Basel, CH – ART Basel (temp. in 2007)","Location: Offene Kirche Elisabethen, temporary in 2007",13 segments,http://en.the-wall-net.org/wp-content/uploads/2016/11/EU103T.jpg,47.55839,7.57327
30,"Basel, CH – private property",http://en.the-wall-net.org/basel-ch/,"Basel, CH – private property",Location: private property nearby Basel,2 segments,http://en.the-wall-net.org/wp-content/uploads/2015/06/Schweiz.jpg,,
31,Berlin,http://en.the-wall-net.org/berlin/,Berlin,,,,52.5170365,13.3888599
32,"Bernau, BB",http://en.the-wall-net.org/bernau-bb/,"Bernau, BB","Location: Jahnstrasse, close to local government offices",3 segments,http://en.the-wall-net.org/wp-content/uploads/2015/11/D120.jpg,52.6787254,13.5881114
33,"Best, NL",http://en.the-wall-net.org/best-nl/,"Best, NL",Location: Museum Wings of Liberation5 segments,"These five segments of the Berlin Wall were donated to theMuseum Befrijdende Vleugels(Wings of Liberation) in Best in 2023. They previously stood on the premises ofStolwerk Sloopwerken in Breda, the only Dutch company involved in the demolition of the border fortifications in 1990.The heirs and successors of the company wanted the segments to be well looked after and preserved. Fred van der Meer, collection manager of the Befrijdende Vleugels Museum, says: “We want to preserve their cultural and historical value for future generations.”",http://en.the-wall-net.org/wp-content/uploads/2024/05/EU082_1.jpg,51.5033671,5.3938665
34,"Biala Podlaska, PL",http://en.the-wall-net.org/biala-podlaska-pl/,"Biala Podlaska, PL",Location: on a cycle path in Miedzyrec Podlaski and Kobylany,1 segment from the Hinterlandmauer,http://en.the-wall-net.org/wp-content/uploads/2014/10/EU030.jpg,52.0290318,23.1494095
35,"Bible Hill, CDN",http://en.the-wall-net.org/bible-hill-cdn/,"Bible Hill, CDN","Location: Nova Scotia Agricultural College (NSAC), Cobequid Trail(Location 2000-2011: Truro, Prince Street)","The Berlin Wall segments which were standing in Truro from 2000, moved in 2011 to Bible Hill, to the Campus of the Nova Scotia Agricultural College.The Berlin Wall segments should help us to appreciate our freedom as Canadians,said Bernie MacDonald, NSAC co-president in theTruro Dialy News.",http://en.the-wall-net.org/wp-content/uploads/2014/08/P1013540-e1446561720992.jpg,34.24654,-80.60702
36,"Birmingham, AL",http://en.the-wall-net.org/birmingham-al/,"Birmingham, AL",Location: Southern Museum of Flight,1 part of the Hinterlandmauer,http://en.the-wall-net.org/wp-content/uploads/2021/07/US123B.jpg,33.5206824,-86.8024326
37,"Bischofsheim, HE",http://en.the-wall-net.org/bischofsheim-he/,"Bischofsheim, HE",Location: Grünzug Bischofsheim/RhineMain RegionalPark,1 segment,http://en.the-wall-net.org/wp-content/uploads/2018/02/D173_b.jpg,49.989925,8.3548176
38,"Bocholt, NW",http://en.the-wall-net.org/bocholt/,"Bocholt, NW",Location: Berliner Platz in front of the town hall,2 segments,http://en.the-wall-net.org/wp-content/uploads/2014/11/D080.jpg,51.8382715,6.6148669
39,"Bochum, NW",http://en.the-wall-net.org/bochum/,"Bochum, NW",Location: Stiepel Monastery,1 segment from Potsdamer Platz,http://en.the-wall-net.org/wp-content/uploads/2015/12/D107.jpg,51.4818111,7.2196635
40,"Bonn, NW – Deutsche Welle",http://en.the-wall-net.org/bonn-2/,"Bonn, NW – Deutsche Welle","Location: Deutsche Welle, in front of the Schürmann building",1 segment,http://en.the-wall-net.org/wp-content/uploads/2014/11/D031_1_B.jpg,50.7171478,7.1282554
41,"Bonn, NW – Haus der Geschichte",http://en.the-wall-net.org/bonn-4/,"Bonn, NW – Haus der Geschichte",Location: Haus der Geschichte,3 segmente from sector Reichstag/Brandenburg Gate,http://en.the-wall-net.org/wp-content/uploads/2014/11/D018B.jpg,50.7175644,7.118593
42,"Bonn, NW – Hostel Basecamp",http://en.the-wall-net.org/bonn-5/,"Bonn, NW – Hostel Basecamp",Location: Hostel Basecamp,2 segments,http://en.the-wall-net.org/wp-content/uploads/2017/08/D070.jpg,,
43,"Bonn, NW – Hotel Kanzler",http://en.the-wall-net.org/bonn-3/,"Bonn, NW – Hotel Kanzler","Location: Hotel Kanzler, in the courtyard",1 segment,http://en.the-wall-net.org/wp-content/uploads/2015/11/Deutschland.jpg,50.7227119,7.113081
44,"Bonn, NW – Ministry of Defense",http://en.the-wall-net.org/bonn/,"Bonn, NW – Ministry of Defense","Location: Ministry of Defense, Hardthöhe",3 segments,http://en.the-wall-net.org/wp-content/uploads/2016/01/D012_3.jpg,,
45,"Boston, MA – EF Headquarter",http://en.the-wall-net.org/boston-ma/,"Boston, MA – EF Headquarter","Location: Education First’s Headquarter, One Education Street",1 segment,http://en.the-wall-net.org/wp-content/uploads/2015/03/US009_3B.jpg,,
46,"Boston, MA – JFK Library and Museum",http://en.the-wall-net.org/boston-ma-2/,"Boston, MA – JFK Library and Museum",Location:John F. Kennedy Presidential Library and Museum,1 segment from Brandenburg Gate,http://en.the-wall-net.org/wp-content/uploads/2014/12/US047B.jpg,,
47,"Braunschweig, NI",http://en.the-wall-net.org/braunschweig/,"Braunschweig, NI",Location: Square of German Union (Platz der Deutschen Einheit),1 segment,http://en.the-wall-net.org/wp-content/uploads/2014/11/D055_B.jpg,52.2646577,10.5236066
48,"Breda, NL",http://en.the-wall-net.org/breda-nl/,"Breda, NL","Location:StolwerkSloopwerken,premises(in 2023 the segments weremoved to the Museum Befrijdende Vleugels in Best)5segments","Die Mauer muss weg–the people of East Germany urged. But how should this work practically? Hammer and chisel wouldn’t settle the matter. Heavy, special equipment was needed to tear down the Wall. The search for adequate firms led also to neighboring countries.",http://en.the-wall-net.org/wp-content/uploads/2015/06/EU082_relocated.jpg,51.5887845,4.7760237
49,"Bremen, HB – Central Station",http://en.the-wall-net.org/bremen/,"Bremen, HB – Central Station","Location: Platz der Deutschen Einheit (Square of German Unity), in front of the central station and the Überseemuseum",1 segment,http://en.the-wall-net.org/wp-content/uploads/2014/10/D026_B.jpg,41.86226,-87.62061
50,"Bremen, HB – Eduard-Schopf-Alley",http://en.the-wall-net.org/bremen-2/,"Bremen, HB – Eduard-Schopf-Alley",Location: Eduard-Schopf-Allee,1 segment,http://en.the-wall-net.org/wp-content/uploads/2014/10/D035.jpg,,
51,"Bremen, HB – Shopping Center Vahr",http://en.the-wall-net.org/bremen-3/,"Bremen, HB – Shopping Center Vahr",Location: in front of the shopping centre Berliner Freiheit (Freedom of Berlin) in Bremen-Vahr,2 segments,http://en.the-wall-net.org/wp-content/uploads/2017/07/D013B.jpg,,
52,"Brilon, NW",http://en.the-wall-net.org/brilon-nw/,"Brilon, NW",Location: Bahnhofstrasse,1 segment,http://en.the-wall-net.org/wp-content/uploads/2017/02/D154.jpg,46.92739,8.41028
53,"Bringolo, F",http://en.the-wall-net.org/bringolo-f/,"Bringolo, F",Location: Parc de Axel Springer,2 segments,http://en.the-wall-net.org/wp-content/uploads/2015/10/Frankreichjpg.jpg,48.5755574,-3.0034875
54,"Brussels, B – Elia Group",http://en.the-wall-net.org/brussels-b-elia-group/,"Brussels, B – Elia Group","Location: Boulevard de l’Empereur, premises",1 segment,http://en.the-wall-net.org/wp-content/uploads/2021/07/EU137B.jpg,,
55,"Brussels, B – European Commission",http://en.the-wall-net.org/brussels-b-berlaymont-building/,"Brussels, B – European Commission",Location: in front of the Berlaymont building,1 segment,http://en.the-wall-net.org/wp-content/uploads/2017/01/EU093_4.jpg,50.8431406,4.383206
56,"Brussels, B – European Parliament",http://en.the-wall-net.org/brussels-b-european-parliament/,"Brussels, B – European Parliament","Location: Rue Wirtz, visitor entrance to the EP",1 segment,http://en.the-wall-net.org/wp-content/uploads/2017/11/EU112n.jpg,,
57,"Brussels, B – NATO HQ",http://en.the-wall-net.org/brussels-b-nato-hq/,"Brussels, B – NATO HQ",Location: NATO headquarters,2 segments,http://en.the-wall-net.org/wp-content/uploads/2017/05/NATO_4.jpg,,
58,"Brussels, B – Parc Leopold",http://en.the-wall-net.org/bruessel-b/,"Brussels, B – Parc Leopold","Location: Parc Leopold, in front of the European Parliament",1 segment from Potsdamer Platz,http://en.the-wall-net.org/wp-content/uploads/2014/10/EU002_B.jpg,50.8403277,4.3786189
59,"Brussels, B – Place du Luxembourg",http://en.the-wall-net.org/bruxelles-b-2/,"Brussels, B – Place du Luxembourg","Location: Place du Luxembourg, in front of the European Parliament",16 segments (partly temp. in 2009),http://en.the-wall-net.org/wp-content/uploads/2014/12/EU066_T.jpg,50.8391637,4.3728234
60,"Bucharest, RO",http://en.the-wall-net.org/bucharest-ro/,"Bucharest, RO",Location: Romanian Academy,1 segment,http://en.the-wall-net.org/wp-content/uploads/2020/08/EU_134.png,44.4361414,26.1027202
61,"Budapest, H – House of Terror",http://en.the-wall-net.org/budapest-h/,"Budapest, H – House of Terror",Location: House of Terror,1 segment,http://en.the-wall-net.org/wp-content/uploads/2014/10/EU040B.jpg,47.49839,19.07483
62,"Budapest, H – Malteser Caritas",http://en.the-wall-net.org/budapest-h-2/,"Budapest, H – Malteser Caritas",Location: Garden of Malteser Caritas Hilfsdienst,2 segments,http://en.the-wall-net.org/wp-content/uploads/2014/10/EU060n.jpg,,
63,"Buechen, SH",http://en.the-wall-net.org/buechen-sh/,"Buechen, SH",Location: Buechen-Dorf,1 segment,http://en.the-wall-net.org/wp-content/uploads/2016/02/D137.jpg,53.4833029,10.6166958
64,"Bueckeburg, NI",http://en.the-wall-net.org/bueckeburg-ni/,"Bueckeburg, NI",Location: Schäfer Barracks,3 segments,http://en.the-wall-net.org/wp-content/uploads/2016/01/D124.jpg,52.2611037,9.0488959
65,"Buenos Aires, RA – Editoria Perfil",http://en.the-wall-net.org/buenos-aires-ra/,"Buenos Aires, RA – Editoria Perfil",Location: in the lobby of Editoria Perfil,8 segments,http://en.the-wall-net.org/wp-content/uploads/2015/03/S001.jpg,,
66,"Buenos Aires, RA – Foreign Ministry",http://en.the-wall-net.org/buenos-aires-ra-2/,"Buenos Aires, RA – Foreign Ministry","Location: Garden of the Foreign Ministry, Palacio San Martin",1 segment,http://en.the-wall-net.org/wp-content/uploads/2017/10/S006_2.jpg,,
67,"Burghausen, BY",http://en.the-wall-net.org/burghausen-by/,"Burghausen, BY",Location: Park of German Unity2 segments,"Burghausen’sPark of German Unityhas been commemorating the division and reunification of Germany since 2009 – with two original parts of the Berlin Wall, an expressive black and white photograph and a short documentary.",http://en.the-wall-net.org/wp-content/uploads/2024/01/D209.jpg,48.1588645,12.8329419
68,"Caen, F",http://en.the-wall-net.org/caen-f/,"Caen, F","Location:Mémorial de Caen, Normandie",2 segments from the sector between Potsdamer Platz and Leipziger Straße,http://en.the-wall-net.org/wp-content/uploads/2014/10/EU009_5.jpg,49.1813403,-0.3635615
69,"Camden, NJ",http://en.the-wall-net.org/camden-nj/,"Camden, NJ",Location: Waterfront near Walt Whitman Bridge,1 segment,http://en.the-wall-net.org/wp-content/uploads/2021/07/US122B.jpg,39.9448402,-75.1198911
70,"Canberra, AUS",http://en.the-wall-net.org/canberra-aus/,"Canberra, AUS",Location: at the entrance to the Harmony German Club,1 segment from Potsdamer Platz,http://en.the-wall-net.org/wp-content/uploads/2014/10/AU001.jpg,30.26715,-97.74306
71,"Cannes, F (temp)",http://en.the-wall-net.org/cannes-f-temp/,"Cannes, F (temp)",Location: Hotel Martinez (temp. spring 1990),2 segments,http://en.the-wall-net.org/wp-content/uploads/2017/07/EU110temp.jpg,-9.376,-171.233
72,"Cap Ferrat, F",http://en.the-wall-net.org/cap-ferrat-f/,"Cap Ferrat, F",Location: on the estate of the Rizzoli family (private property),1 segment,http://en.the-wall-net.org/wp-content/uploads/2015/10/Frankreichjpg.jpg,43.6883065,7.3278535
73,"Cape Town, ZA",http://en.the-wall-net.org/cape-town-za/,"Cape Town, ZA",Location: in front of Mandela Rhodes Foundation,1 segment,http://en.the-wall-net.org/wp-content/uploads/2015/02/AF002_2B-e1449149789937.jpg,-33.928992,18.417396
74,"Catterick, GB",http://en.the-wall-net.org/catterick-gb/,"Catterick, GB",Location: Gaza Barracks,1 segment,http://en.the-wall-net.org/wp-content/uploads/2014/11/England.jpg,54.3774754,-1.6314843
75,"Chalk Hill, PA",http://en.the-wall-net.org/dunbar-pa/,"Chalk Hill, PA",Location: Kentuck Knob,"2 segments from Waldemarstraße, Kreuzberg",http://en.the-wall-net.org/wp-content/uploads/2014/12/US057_8.jpg,39.8556115,-79.5790584
76,"Charlottesville, VA",http://en.the-wall-net.org/oklahoma-city-ok/,"Charlottesville, VA",Location: University of Virginia,4 segments,http://en.the-wall-net.org/wp-content/uploads/2014/10/US17.jpg,38.029306,-78.4766781
77,"Chicago, IL – Lincoln Square",http://en.the-wall-net.org/chicago-il/,"Chicago, IL – Lincoln Square","Location: Western Avenue Station, Lincoln Square",1 segment,http://en.the-wall-net.org/wp-content/uploads/2014/12/US039_1.jpg,41.9685116,-87.6886528
78,"Chicago, IL – SafeHouse",http://en.the-wall-net.org/chicago-il-safehouse/,"Chicago, IL – SafeHouse",,,http://en.the-wall-net.org/wp-content/uploads/2018/03/US113_B.jpg,41.8934973,-87.6259171
79,"Christchurch, NZ",http://en.the-wall-net.org/christchurch-nz/,"Christchurch, NZ",Location: Cashel Street/Rauora Park,2 segments,http://en.the-wall-net.org/wp-content/uploads/2020/06/NZ001B.jpg,-43.530955,172.6364343
80,"Cincinatti, OH",http://en.the-wall-net.org/cincinatti-oh/,"Cincinatti, OH",Location: Freedom Center Museum,1 segment,http://en.the-wall-net.org/wp-content/uploads/2015/10/US074B.jpg,39.182238,-84.7539921
81,"College Station, TX",http://en.the-wall-net.org/college-station-tx/,"College Station, TX",Location: George H. W. Bush Presidential Library and Museum,1 segment,http://en.the-wall-net.org/wp-content/uploads/2014/12/US019B.jpg,30.6183939,-96.3455991
82,"Cologne, NW",http://en.the-wall-net.org/cologne/,"Cologne, NW",Location: Cologne-Muehlheim/Schanzenviertel,1 Segment,http://en.the-wall-net.org/wp-content/uploads/2015/03/D087_3B.jpg,46.92739,8.41028
83,"Cologne/Bonn, NW",http://en.the-wall-net.org/kolnbonn/,"Cologne/Bonn, NW","Location: Airport, security zone",1 segment,http://en.the-wall-net.org/wp-content/uploads/2017/09/D074_1-e1504372049742.jpg,50.8677817,7.138961
84,"Colombes, F – Institution Jeanne d’Arc Colombes",http://en.the-wall-net.org/colombes-institution-jeanne-darc-colombes/,"Colombes, F – Institution Jeanne d’Arc Colombes",Location: Institution Jeanne d’Arc Colombes,2 segments,http://en.the-wall-net.org/wp-content/uploads/2016/03/EU095_1.jpg,48.91882,2.25404
85,"Columbus, OH",http://en.the-wall-net.org/bexley-oh/,"Columbus, OH",Location: Campus of Capital University,1 segment,http://en.the-wall-net.org/wp-content/uploads/2014/10/US073.png,39.9622601,-83.0007065
86,"Cosford, GB",http://en.the-wall-net.org/cosford-uk/,"Cosford, GB",Location: Royal Air Force Museum,1 segment,http://en.the-wall-net.org/wp-content/uploads/2017/11/EU017_2.jpg,52.6448458,-2.3006927
87,"Cottbus, BB",http://en.the-wall-net.org/cottbus/,"Cottbus, BB","Location: Technical University Brandenburg, Platz der Deutschen Einheit (German Unity Square)",4 segments,http://en.the-wall-net.org/wp-content/uploads/2017/03/D042B.jpg,51.7567447,14.3357307
88,"Culver City, CA",http://en.the-wall-net.org/culver-city-ca-2/,"Culver City, CA",Location: The Wende Museum,1 segment,http://en.the-wall-net.org/wp-content/uploads/2015/07/US102.jpg,34.0211224,-118.396466
89,"Daejeon (Taejon), ROK",http://en.the-wall-net.org/daejeon-taejon-rok/,"Daejeon (Taejon), ROK",Location: Hanbit Square,6 segments,http://en.the-wall-net.org/wp-content/uploads/2018/07/AS024.jpg,-23.38032,150.50595
90,"Dalian, RC",http://en.the-wall-net.org/dalian-rc/,"Dalian, RC",Location: Dalian International Hotel (missing since end of 1990s),3 segments,http://en.the-wall-net.org/wp-content/uploads/2014/10/Dalian.jpg,38.31667,16.08333
91,"Dallas, TX",http://en.the-wall-net.org/dallas-tx/,"Dallas, TX","Location: Hilton Anatole Hotel, 2201 North Stemmons Freeway","2 segments from Waldemarstraße, Kreuzberg",http://en.the-wall-net.org/wp-content/uploads/2014/10/US020-.jpg,32.7762719,-96.7968559
92,"Dayton, OH",http://en.the-wall-net.org/dayton-oh/,"Dayton, OH","Location: National Museum of the USAF, Wright Patterson Air Force Base",6 segments,http://en.the-wall-net.org/wp-content/uploads/2014/10/US016.jpg,39.7589478,-84.1916069
93,"De Wolden, NL",http://en.the-wall-net.org/de-wolden-nl/,"De Wolden, NL","Location: Hoge Linthorst, Echten/De Wolden, private property",1 segment,http://en.the-wall-net.org/wp-content/uploads/2015/05/EU079B.jpg,52.705585,6.3389524
94,"Deauville, F",http://en.the-wall-net.org/deauville-f/,"Deauville, F",Location: Blangy le Chateau (private property),1 segment,http://en.the-wall-net.org/wp-content/uploads/2014/10/EU011.jpg,49.3596354,0.0844031
95,"Delbrueck-Hagen, NW",http://en.the-wall-net.org/delbrueck-hagen/,"Delbrueck-Hagen, NW",Location:Das gastliche Dorf,2 segments,http://en.the-wall-net.org/wp-content/uploads/2015/11/D113.jpg,51.7479805,8.5413417
96,"Dhaka, BD",http://en.the-wall-net.org/dhaka-bd/,"Dhaka, BD",Location: Bengal Gallery of Fine Arts,1 segment,http://en.the-wall-net.org/wp-content/uploads/2014/10/Dhaka.jpg,23.7644025,90.389015
97,"Diedorf, BY",http://en.the-wall-net.org/diedorf/,"Diedorf, BY",Location: on a meadow,7 segments,http://en.the-wall-net.org/wp-content/uploads/2014/10/D009.jpg,48.3542454,10.7839603
98,"Dinslaken-Lohberg, NW",http://en.the-wall-net.org/dinslaken-lohberg-nw/,"Dinslaken-Lohberg, NW","Location: Platz der Vielfalt, Kreativ.Quartier",1 segment,http://en.the-wall-net.org/wp-content/uploads/2018/05/D182.jpg,51.5772495,6.7600699
99,"Doha, Qatar",http://en.the-wall-net.org/doha-qatar/,"Doha, Qatar",Location:Georgetown University,1 segment,http://en.the-wall-net.org/wp-content/uploads/2018/12/AH001.jpg,25.2856329,51.5264162
100,"Dorasan, ROK",http://en.the-wall-net.org/dorasan-rok/,"Dorasan, ROK","Location: Dorasan station, Unification Platform",1 segment,http://en.the-wall-net.org/wp-content/uploads/2015/12/AS017.jpg,-23.38032,150.50595
101,"Dortmund, NW",http://en.the-wall-net.org/dortmund-nw/,"Dortmund, NW","Location: Lensing Media, Westenhellweg",2 segments,http://en.the-wall-net.org/wp-content/uploads/2022/01/D207.jpg,51.5142273,7.4652789
102,"Dresden, SN – A&O Hostel",http://en.the-wall-net.org/dresden-sn-ao-hostel/,"Dresden, SN – A&O Hostel",Location: close to central station,1 segment,http://en.the-wall-net.org/wp-content/uploads/2015/11/D112.jpg,51.0365429,13.7395392
103,"Dresden, SN – MHM",http://en.the-wall-net.org/dresden-sn/,"Dresden, SN – MHM",Location: Militärhistorisches Museum,4 segments,http://en.the-wall-net.org/wp-content/uploads/2016/01/D123.jpg,,
104,"Duelmen, NW",http://en.the-wall-net.org/duelmen-nw/,"Duelmen, NW",Location: Charleville-Mézières-Platz at Merfelder von-Galen-Park,2 segments,http://en.the-wall-net.org/wp-content/uploads/2020/11/D188B.jpg,51.8283677,7.2791406
105,"Duesseldorf, NW – Buergerpark",http://en.the-wall-net.org/duesseldorf-buergerpark/,"Duesseldorf, NW – Buergerpark",Location: in the Buergerpark in front of the State Parliament,1 segment,http://en.the-wall-net.org/wp-content/uploads/2015/03/D083_1.jpg,,
106,"Duesseldorf, NW – harbour",http://en.the-wall-net.org/duesseldorf-harbour/,"Duesseldorf, NW – harbour",Location: premises at the harbour,2 large pieces,http://en.the-wall-net.org/wp-content/uploads/2015/09/D084_4.jpg,,
107,"Duesseldorf, NW – IBM Headquarter",http://en.the-wall-net.org/duesseldorf-ibm-headquarter/,"Duesseldorf, NW – IBM Headquarter",Location: in front of the IBM headquarter,1 segment,http://en.the-wall-net.org/wp-content/uploads/2015/10/D085_dis.jpg,,
108,"Duesseldorf, NW – Meerbusch",http://en.the-wall-net.org/dusseldorf/,"Duesseldorf, NW – Meerbusch",Location: Städtisches Meerbusch Gymnasium,1 segment vom Potsdamer Platz,http://en.the-wall-net.org/wp-content/uploads/2014/11/D010.png,51.2786811,6.6912193
109,"Durham, NC",http://en.the-wall-net.org/durham-nc/,"Durham, NC",,,http://en.the-wall-net.org/wp-content/uploads/2015/05/US100_1.jpg,35.996653,-78.9018053
